id,category,content_type,title,target_page,priority,status
75,家事・時短,比較,2枚焼きと4枚焼きトースターの違い,kitchen-appliances-comparison,B,planned
76,家事・時短,収益,オーブントースターおすすめ候補,kitchen-appliances-comparison,A,planned
77,家事・時短,比較,ミキサーとブレンダーの違い,kitchen-appliances-comparison,B,planned
78,家事・時短,収益,ミキサーおすすめ候補,kitchen-appliances-comparison,B,planned
79,家事・時短,集客,コードレス掃除機の重さの選び方,living-appliances-comparison,A,planned
80,家事・時短,収益,コードレス掃除機おすすめ候補,living-appliances-comparison,A,planned
81,家事・時短,集客,空気清浄機の適用畳数の見方,living-appliances-comparison,A,planned
82,家事・時短,収益,空気清浄機おすすめ候補,living-appliances-comparison,A,planned
83,家事・時短,集客,ドライヤーの風量と重さの選び方,living-appliances-comparison,A,planned
84,家事・時短,収益,ドライヤーおすすめ候補,living-appliances-comparison,A,planned
85,家事・時短,比較,DC扇風機とAC扇風機の違い,living-appliances-comparison,B,planned
86,家事・時短,収益,リビング扇風機おすすめ候補,living-appliances-comparison,A,planned
87,家事・時短,集客,セラミックヒーターの電気代と使い方,living-appliances-comparison,B,planned
88,家事・時短,収益,セラミックヒーターおすすめ候補,living-appliances-comparison,B,planned
89,旅行・外出,集客,スーツケースの容量の選び方,travel-outdoor-items-comparison,A,planned
90,旅行・外出,収益,スーツケースおすすめ候補,travel-outdoor-items-comparison,A,planned
91,旅行・外出,集客,機内持ち込みサイズの確認方法,travel-outdoor-items-comparison,A,planned
92,旅行・外出,収益,圧縮ポーチおすすめ候補,travel-outdoor-items-comparison,A,planned
93,旅行・外出,集客,圧縮ポーチと圧縮袋の違い,travel-outdoor-items-comparison,B,planned
94,旅行・外出,収益,ネックピローおすすめ候補,travel-outdoor-items-comparison,B,planned
95,旅行・外出,集客,海外旅行の充電器と変換プラグ,travel-outdoor-items-comparison,A,planned
96,旅行・外出,収益,トラベル充電器おすすめ候補,travel-outdoor-items-comparison,A,planned
97,旅行・外出,集客,パスポートと貴重品の分け方,travel-outdoor-items-comparison,B,planned
98,旅行・外出,収益,セキュリティポーチおすすめ候補,travel-outdoor-items-comparison,B,planned
99,旅行・外出,集客,旅行前に充電機器を減らす方法,travel-outdoor-items-comparison,B,planned
100,旅行・外出,比較,国内旅行と海外旅行の持ち物の違い,travel-outdoor-items-comparison,C,planned
101,美容,集客,ヘアワックスのセット力と質感の違い,hair-grooming-items-comparison,A,planned
102,美容,収益,家庭用脱毛器おすすめ候補,hair-grooming-items-comparison,A,planned
103,美容,集客,電気シェーバーの刃方式と手入れ,hair-grooming-items-comparison,A,planned
104,美容,比較,ボディトリマーとシェーバーの違い,hair-grooming-items-comparison,B,planned
105,美容,集客,ヘアアイロンの温度選び,hair-grooming-items-comparison,B,planned
106,フィットネス,集客,プロテインとクレアチンの違い,fitness-supplements-comparison,A,planned
107,フィットネス,収益,クレアチンおすすめ候補,fitness-supplements-comparison,A,planned
108,フィットネス,比較,EAAとBCAAの違い,fitness-supplements-comparison,A,planned
109,フィットネス,集客,運動補助食品を増やす前の確認点,fitness-supplements-comparison,B,planned
110,フィットネス,収益,グルタミンおすすめ候補,fitness-supplements-comparison,B,planned
111,健康,集客,マルチビタミンの成分表示の見方,health-support-supplements-comparison,A,planned
112,健康,比較,食物繊維デキストリンとイヌリンの違い,health-support-supplements-comparison,B,planned
113,健康,集客,乳酸菌サプリを選ぶ前の確認点,health-support-supplements-comparison,A,planned
114,健康,集客,サプリの重複摂取を確認する方法,health-support-supplements-comparison,A,planned
115,健康,比較,カルシウムとマグネシウムの配合を見る,health-support-supplements-comparison,B,planned
